predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,0.9441198052228743,0.9441198052228743,0,Bray-Curtis,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.4656329687025361,0.4656329687025361,0,Bray-Curtis,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.19093106778353125,0.19093106778353125,0,Bray-Curtis,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,2.0156197552080557,2.0156197552080557,0,Bray-Curtis,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.7615827035600641,0.7615827035600641,0,Sørensen,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.3348350666798396,0.3348350666798396,0,Sørensen,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.13924979038353025,0.13924979038353025,0,Sørensen,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,2.0480614346754353,2.0480614346754353,0,Sørensen,collembola_soil_core,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.9441198052228743,0.6210865416147091,-0.3230332636081652,Bray-Curtis,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,0.4656329687025361,0.5084818982614743,0.042848929558938154,Bray-Curtis,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,0.19093106778353125,0.18949784765891747,-0.0014332201246137766,Bray-Curtis,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,2.0156197552080557,1.9277742737505843,-0.0878454814574714,Bray-Curtis,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,0.7615827035600641,0.651692372253942,-0.10989033130612202,Sørensen,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,0.3348350666798396,0.38665289569952666,0.05181782901968707,Sørensen,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,0.13924979038353025,0.129789667658171,-0.00946012272535926,Sørensen,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,2.0480614346754353,1.8604355174159997,-0.18762591725943567,Sørensen,collembola_soil_core,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,0.9441198052228743,0.95008507666725,0.005965271444375642,Bray-Curtis,collembola_soil_core,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.4656329687025361,0.4650392297438011,-5.937389587350461e-4,Bray-Curtis,collembola_soil_core,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.19093106778353125,0.19100480889439664,7.374111086538848e-5,Bray-Curtis,collembola_soil_core,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,2.0156197552080557,2.017770145619194,0.002150390411138403,Bray-Curtis,collembola_soil_core,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.7615827035600641,0.7677949926915275,0.006212289131463433,Sørensen,collembola_soil_core,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
